구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도
공중화장실,청소년수련관,경기도 안산시 상록구 삼일로 696,경기도 안산시 상록구 성포동 214-1,N,0,0,0,1,0,0,0,0,0,(재)안산시청소년수련관,,00:00~24:00,,37.32625264,126.8532686
공중화장실,농협안산시지부,경기도 안산시 단원구 광덕대로 258,경기도 안산시 단원구 고잔동 527-5,N,9,12,0,0,0,0,9,0,0,농협안산시지부,,00:00~24:00,,37.3195231,126.831458
공중화장실,신안산주유소,경기도 안산시 단원구 고잔로 86,경기도 안산시 단원구 고잔동 534,N,2,3,0,0,0,0,1,0,0,신안산주유소,,00:00~24:00,,37.31896336,126.8355117
공중화장실,제8주구(근로자)운동장,경기도 안산시 단원구 부부로 98,경기도 안산시 단원구 원곡동 946,N,4,9,1,1,0,0,10,1,0,안산도시공사장,,00:00~24:00,,37.3370133,126.7916059
공중화장실,시낭운동장,경기도 안산시 상록구 시낭로 45,경기도 안산시 상록구 부곡동 719-1,N,6,16,2,2,0,0,12,2,0,안산도시공사장,,00:00~24:00,,37.33410864,126.8553731
공중화장실,탄도항 공중화장실,경기도 안산시 단원구 대부황금로 5-14,경기도 안산시 단원구 선감동 717-2,N,2,3,1,1,0,0,8,1,0,안산도시공사장,,00:00~24:00,,37.19156347,126.6461685
공중화장실,시민공원눈썰매장,경기도 안산시 단원구 동산로 181,경기도 안산시 단원구 원곡동 735,N,7,9,1,1,0,0,11,1,0,안산도시공사장,,00:00~24:00,,37.3203994,126.8034813
공중화장실,부곡공원 생활체육관,경기도 안산시 상록구 정재로 62,경기도 안산시 상록구 부곡동 산40-5,N,2,1,1,1,0,0,2,0,0,안산도시공사장,,00:00~24:00,,37.3328079,126.8680195
공중화장실,사리운동장,경기도 안산시 상록구 충장로 50,경기도 안산시 상록구 본오동 산98-1,N,1,1,0,0,0,0,1,0,0,안산도시공사장,,00:00~24:00,,37.285927,126.8570998
공중화장실,성호공원운동장(2구역),경기도 안산시 상록구 성호로 285,경기도 안산시 상록구 부곡동 711,N,2,2,0,0,0,0,4,0,0,안산도시공사장,,00:00~24:00,,37.32864876,126.8586753
공중화장실,제4주구(능안운동장),경기도 안산시 단원구 능안로 39-26,경기도 안산시 단원구 목내동 472,N,4,10,1,1,0,0,10,1,0,안산도시공사장,,00:00~24:00,,37.31985832,126.7748989
공중화장실,어촌민속박물관,경기도 안산시 단원구 대부황금로 7,경기도 안산시 단원구 선감동 717,N,4,8,1,1,1,0,9,1,1,안산도시공사장,,00:00~24:00,,37.19250762,126.646123
공중화장실,누에섬 등대,경기도 안산시 단원구 대부황금로 17-156,경기도 안산시 단원구 선감동 산170,N,2,4,0,0,0,0,3,0,0,안산도시공사장,,00:00~24:00,,37.1866314,126.6314788
공중화장실,제3주구(골안말야구장),경기도 안산시 단원구 신원로 301-15,경기도 안산시 단원구 목내동 451,N,1,1,0,0,0,0,2,0,0,안산도시공사장,,00:00~24:00,,37.31136392,126.7695591
공중화장실,와스타디움,경기도 안산시 단원구 화랑로 260,경기도 안산시 단원구 초지동 666,N,93,294,0,0,0,0,151,0,0,안산도시공사장,,00:00~24:00,,37.31947602,126.8164939
공중화장실,관산체육관,경기도 안산시 단원구 원선로 93,경기도 안산시 단원구 원곡동 936,N,2,2,2,2,0,0,2,1,0,안산도시공사장,,00:00~24:00,,37.33201952,126.8015658
공중화장실,시립테니스장,경기도 안산시 단원구 적금로 9,경기도 안산시 단원구 고잔동 713-3,N,2,3,0,0,0,0,3,0,0,안산도시공사장,,00:00~24:00,,37.30907594,126.8245626
공중화장실,탄도항 공중화장실,경기도 안산시 단원구 대부황금로 5-20,경기도 안산시 단원구 선감동 717-3,N,2,3,0,0,1,0,9,0,0,안산도시공사장,,00:00~24:00,,37.19114962,126.6463822
공중화장실,화랑오토캠핑장,경기도 안산시 단원구 동산로 268,경기도 안산시 단원구 초지동 667,N,6,8,4,4,2,0,14,2,2,안산도시공사장,,00:00~24:00,,37.32567447,126.813771
공중화장실,와동체육관,경기도 안산시 단원구 화정천동로 396,경기도 안산시 단원구 와동 813,N,4,8,0,0,0,0,11,0,0,안산도시공사장,,00:00~24:00,,37.3400269,126.8189366
공중화장실,안산시 배드민턴전용경기장(오른쪽 여자),경기도 안산시 단원구 순환로 416,경기도 안산시 단원구 와동 95-3,N,4,8,2,2,0,0,5,2,0,안산도시공사장,,00:00~24:00,,37.34360739,126.8348169
공중화장실,구룡운동장,경기도 안산시 상록구 구룡체육관로 21,경기도 안산시 상록구 이동 609-3,N,1,2,0,0,0,0,3,0,0,안산도시공사장,,00:00~24:00,,37.3082227,126.8605125
공중화장실,감골시민홀,경기도 안산시 상록구 석호로 226,경기도 안산시 상록구 사동 1342,N,12,20,0,0,0,0,24,0,0,안산도시공사장,,00:00~24:00,,37.293314,126.855367
공중화장실,올림픽기념관,경기도 안산시 단원구 적금로 202,경기도 안산시 단원구 고잔동 604,N,24,35,3,3,0,0,32,3,0,안산도시공사장,,00:00~24:00,,37.32628736,126.8281889
공중화장실,안골운동장,경기도 안산시 상록구 광덕1로 350,경기도 안산시 상록구 이동 720,N,1,1,0,0,0,0,2,0,0,안산도시공사장,,00:00~24:00,,37.3064008,126.8488007
공중화장실,시민시장(우),경기도 안산시 단원구 화랑로 149,경기도 안산시 단원구 초지동 604-4,N,3,5,0,0,0,0,5,0,0,안산도시공사장,,00:00~24:00,,37.32537215,126.8050885
공중화장실,시민시장(좌),경기도 안산시 단원구 화랑로 149,경기도 안산시 단원구 초지동 604-4,N,3,5,0,0,0,0,5,0,0,안산도시공사장,,00:00~24:00,,37.32537215,126.8050885
공중화장실,시민시장(중앙),경기도 안산시 단원구 화랑로 149,경기도 안산시 단원구 초지동 604-4,N,2,5,1,1,0,0,3,1,0,안산도시공사장,,00:00~24:00,,37.32537215,126.8050885
공중화장실,감골운동장,경기도 안산시 상록구 석호로 226,경기도 안산시 상록구 사동 1342,N,2,0,0,0,3,0,2,0,0,안산도시공사장,,00:00~24:00,,37.293314,126.855367
공중화장실,올림픽수영장,경기도 안산시 단원구 적금로 202,경기도 안산시 단원구 고잔동 604,N,6,7,1,1,0,0,5,1,0,안산도시공사장,,00:00~24:00,,37.32628736,126.8281889
공중화장실,초지임시운동장,경기도 안산시 단원구 화랑로 260,경기도 안산시 단원구 초지동 666,N,1,1,0,0,0,0,2,0,0,안산도시공사장,,00:00~24:00,,37.31947602,126.8164939
공중화장실,구룡체육관,경기도 안산시 상록구 구룡체육관로 21,경기도 안산시 상록구 이동 609-3,N,2,2,1,1,0,0,2,1,0,안산도시공사장,,00:00~24:00,,37.3082227,126.8605125
공중화장실,각골체육관,경기도 안산시 상록구 석호로 400,경기도 안산시 상록구 본오동 728,N,1,1,1,0,0,0,2,1,0,안산도시공사장,,00:00~24:00,,37.29258271,126.8751994
공중화장실,광덕정(국궁장),,경기도 안산시 단원구 초지동 산 7,N,0,0,0,2,0,0,0,0,0,안산도시공사장,,00:00~24:00,,37.31908598,126.8055211
공중화장실,남산뜰 화장실,경기도 안산시 상록구 충정공길 6,경기도 안산시 상록구 사사동 142-1,N,1,1,0,1,0,0,1,0,0,안산도시공사장,,00:00~24:00,,37.2989198,126.9261536
공중화장실,돌안말운동장,,경기도 안산시 단원구 성곡동 627-2,N,1,1,0,0,0,1,2,0,0,안산도시공사장,,00:00~24:00,,37.31275634,126.7540505
공중화장실,반월정(각골공원내),경기도 안산시 상록구 오목로 135,경기도 안산시 상록구 본오동 46-2,N,1,3,0,0,0,0,1,0,0,안산도시공사장,,00:00~24:00,,37.29034233,126.8731236
공중화장실,석수골 운동장,경기도 안산시 단원구 선부로 96,경기도 안산시 단원구 선부동 1068,N,2,4,0,0,0,1,3,0,0,안산도시공사장,,00:00~24:00,,37.34090903,126.8047911
공중화장실,선부배수지,,경기도 안산시 단원구 선부동 산 128,N,2,4,0,0,0,1,3,0,0,안산도시공사장,,00:00~24:00,,37.34195146,126.7988256
공중화장실,성포배수지체육시설,경기도 안산시 상록구 구룡로5길 7-12,경기도 안산시 상록구 일동 106,N,0,0,0,3,0,0,0,0,0,안산도시공사장,,00:00~24:00,,37.3160041,126.8710024
공중화장실,안산어촌민속전시관,경기도 안산시 단원구 대부황금로 7,경기도 안산시 단원구 선감동 717,N,4,8,1,0,1,0,9,1,1,안산도시공사장,,00:00~24:00,,37.19250762,126.646123
공중화장실,영동고속도로 화정1교 아래,,경기도 안산시 단원구 화정동 306-6,N,1,1,0,0,0,0,1,0,0,안산도시공사장,,00:00~24:00,,37.34963933,126.8223591
공중화장실,영동고속도로 화정2교 아래,,경기도 안산시 단원구 화정동 337-5,N,1,1,0,0,0,0,1,0,0,안산도시공사장,,00:00~24:00,,37.348474,126.8263233
공중화장실,와동인조잔디구장,,경기도 안산시 단원구 와동 95-2,N,1,1,0,0,0,0,1,1,0,안산도시공사장,,00:00~24:00,,37.34333631,126.8311541
공중화장실,원시운동장,경기도 안산시 단원구 산단로 94,경기도 안산시 단원구 원시동 782,N,10,24,0,0,0,2,10,0,0,안산도시공사장,,00:00~24:00,,37.3046047,126.7880558
공중화장실,장화운동장,경기도 안산시 상록구 선진안길 80-5,경기도 안산시 상록구 사동 1502-1,N,1,1,0,0,0,1,2,0,0,안산도시공사장,,00:00~24:00,,37.27687949,126.8475643
공중화장실,점섬운동장,경기도 안산시 상록구 성호로 190,경기도 안산시 상록구 부곡동 705,N,1,1,1,0,0,0,2,1,0,안산도시공사장,,00:00~24:00,,37.32033686,126.8580275
공중화장실,제13주구(당곡)운동장,,경기도 안산시 단원구 고잔동 677-1,N,1,1,0,0,0,1,2,0,0,안산도시공사장,,00:00~24:00,,37.32425755,126.834492
공중화장실,제26주구(민속)운동장,,경기도 안산시 단원구 고잔동 779,N,1,1,0,0,0,1,2,0,0,안산도시공사장,,00:00~24:00,,37.30626147,126.8389876
공중화장실,제2주구(능길운동장),,경기도 안산시 단원구 신길동 1053,N,1,1,0,0,0,1,2,0,0,안산도시공사장,,00:00~24:00,,37.32725207,126.7631665
공중화장실,제6주구(초지)운동장,,경기도 안산시 단원구 초지동 776,N,1,0,0,1,0,0,1,0,0,안산도시공사장,,00:00~24:00,,37.31061916,126.8127175
공중화장실,풍경운동장,,경기도 안산시 단원구 초지동 740-3,N,1,1,1,0,0,0,2,1,0,안산도시공사장,,00:00~24:00,,37.30437011,126.8152485
공중화장실,안산동주민센터,경기도 안산시 상록구 장하로 315,경기도 안산시 상록구 수암동 506,N,13,10,2,2,0,0,17,2,0,안산동장,,00:00~24:00,,37.3618626,126.8733509
공중화장실,안산문화광장,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,N,5,2,1,0,1,0,10,1,2,안산문화재단,,00:00~24:00,,37.3107415,126.8298216
공중화장실,안산세관,경기도 안산시 단원구 선부광장1로 158,경기도 안산시 단원구 선부동 1072-2,N,6,5,1,1,0,0,5,1,0,안산세관,,00:00~24:00,,37.3324315,126.8086261
공중화장실,군자119안전센터,경기도 안산시 단원구 번영1로 45,경기도 안산시 단원구 성곡동 710-12,N,2,2,0,0,0,0,1,0,0,안산소방서 군자119안전센터장,,00:00~24:00,,37.31990008,126.7358177
공중화장실,안산소방서 대부119안전센터,경기도 안산시 단원구 영전로 375,경기도 안산시 단원구 대부동동 89-3,N,3,7,0,0,0,1,1,0,0,안산소방서 대부119안전센터장,,00:00~24:00,,37.24026885,126.6178517
공중화장실,안산소방서 사동119안전센터,경기도 안산시 상록구 항가울로 230,경기도 안산시 상록구 사동 1584-2,N,3,3,0,0,0,0,1,0,0,안산소방서 사동 119안전센터장,,00:00~24:00,,37.30081666,126.8436576
공중화장실,안산시립노인요양원,경기도 안산시 상록구 차돌배기로 24,경기도 안산시 상록구 사동 1586,N,3,3,0,0,0,0,3,0,0,안산시,,00:00~24:00,,37.2996739,126.8461378
공중화장실,용신평생교육원,경기도 안산시 단원구 다문화길 16,경기도 안산시 단원구 원곡동 795,N,3,2,1,1,0,0,3,1,0,안산시,,00:00~24:00,,37.3294076,126.7906038
공중화장실,대부도 관광안내소,경기도 안산시 단원구 대부황금로 1531,경기도 안산시 단원구 대부북동 1985,N,1,1,1,1,0,0,2,1,0,안산시,,00:00~24:00,,37.28989213,126.5779451
공중화장실,교통안전체험교육장,경기도 안산시 상록구 석호공원로 1,경기도 안산시 상록구 사동 1583,N,2,3,2,2,1,0,2,1,3,안산시,,00:00~24:00,,37.302399,126.8439622
공중화장실,안산문화원,경기도 안산시 상록구 용신로 236-1,경기도 안산시 상록구 사동 1186-1,N,3,8,3,3,0,0,6,3,0,안산시,,00:00~24:00,,37.30310817,126.8485143
공중화장실,최용신기념관,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,N,2,2,2,2,0,0,2,2,0,안산시,,00:00~24:00,,37.2996048,126.8627317
공중화장실,초지종합사회복지관,경기도 안산시 단원구 원초로 76,경기도 안산시 단원구 초지동 604-3,N,10,14,4,4,0,0,10,4,0,안산시,,00:00~24:00,,37.32622777,126.8059474
공중화장실,부곡종합사회복지관,경기도 안산시 상록구 성호로 285,경기도 안산시 상록구 부곡동 711,N,15,7,3,3,0,0,15,3,0,안산시,,00:00~24:00,,37.32864876,126.8586753
공중화장실,본오종합복지관,경기도 안산시 상록구 이호로 39,경기도 안산시 상록구 본오동 523-1,N,12,6,0,0,0,0,9,0,0,안산시,,00:00~24:00,,37.2874137,126.8612755
공중화장실,군자사회복지관,경기도 안산시 단원구 화정로 9 (선부동),"경기도 안산시 단원구 선부동 1079,주공13,14단지아파트",N,4,5,0,0,0,0,4,0,0,안산시,,00:00~24:00,,37.3333913,126.8140272
공중화장실,상록구노인복지회관,경기도 안산시 상록구 고잔로 162,경기도 안산시 상록구 성포동 589,N,6,8,1,1,0,0,6,1,0,안산시,,00:00~24:00,,37.318436,126.844302
공중화장실,단원구노인복지회관,경기도 안산시 단원구 선부광장1로 134,경기도 안산시 단원구 선부동 1077-9,N,5,20,5,5,0,0,15,0,0,안산시,,00:00~24:00,,37.33226854,126.8105841
공중화장실,사동복지관,경기도 안산시 상록구 한양대학로 31,경기도 안산시 상록구 사동 1171,N,3,3,1,1,0,0,3,1,0,안산시,,00:00~24:00,,37.30090607,126.8403591
공중화장실,장애인종합복지관,경기도 안산시 단원구 원초로 80,경기도 안산시 단원구 초지동 604-10,N,4,0,4,4,0,0,4,4,0,안산시,,00:00~24:00,,37.3259071,126.8065831
공중화장실,둔배미공원,경기도 안산시 단원구 화정천서로 157,경기도 안산시 단원구 초지동 723,N,3,3,0,0,0,0,6,0,0,안산시,,00:00~24:00,,37.31170382,126.820091
공중화장실,고잔공원,경기도 안산시 단원구 광덕2로 112,경기도 안산시 단원구 고잔동 713-1,N,3,3,1,1,0,0,6,1,0,안산시,,00:00~24:00,,37.30981496,126.8228567
공중화장실,성호공원(1구역),경기도 안산시 상록구 성호로 285,경기도 안산시 상록구 부곡동 711,N,3,2,0,0,0,0,3,0,0,안산시,,00:00~24:00,,37.32864876,126.8586753
공중화장실,성호공원(3구역)호동초맞은편,경기도 안산시 상록구 웃말1안길 48,경기도 안산시 상록구 일동 620,N,1,2,0,0,0,0,2,1,0,안산시,,00:00~24:00,,37.3087052,126.8692129
